request_status,date_received,suburb,category,service_desc,days_to_complete
closed,2015-08-20,Carlton,Graffiti,Graffiti Removal,18
closed,2016-03-31,Carlton,Graffiti,Graffiti Removal,6
closed,2016-05-05,Carlton,Graffiti,Graffiti Removal,7
closed,2016-02-22,Carlton,Graffiti,Graffiti Removal,3
closed,2014-11-10,Carlton,Graffiti,Graffiti Removal,8
closed,2016-06-10,Carlton,Graffiti,Graffiti Removal,14
closed,2014-11-18,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-20,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2014-11-20,Melbourne,Graffiti,Graffiti Removal,5
closed,2014-11-20,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-01-15,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,6
closed,2015-01-16,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,5
closed,2015-01-16,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,5
closed,2015-01-19,Carlton,Parks and Trees,Sport and Playground Facilities,1
closed,2014-11-20,Carlton,"Waste, Street Cleaning and Litter",Waste Collection Services,4
closed,2014-11-20,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,4
closed,2015-01-20,Melbourne,Parks and Trees,Tree Maintenance Services,2
closed,2014-11-25,Carlton,"Waste, Street Cleaning and Litter",Waste Collection Services,2
closed,2014-11-27,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-01-21,Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,1
closed,2015-01-22,Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,5
closed,2015-01-23,North Melbourne,Graffiti,Graffiti Removal,10
closed,2015-01-23,North Melbourne,Graffiti,Graffiti Removal,10
closed,2015-01-23,Southbank,"Waste, Street Cleaning and Litter",Damaged Bins,4
closed,2014-11-28,Melbourne,Graffiti,Graffiti Removal,10
closed,2014-11-28,East Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,4
closed,2014-11-30,Kensington,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2014-12-01,Carlton,Parks and Trees,Condition of Assets in Parks,23
closed,2014-12-01,Carlton,Graffiti,Graffiti Removal,7
closed,2015-01-27,North Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,6
closed,2015-01-28,East Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2014-12-02,Melbourne,Graffiti,Graffiti Removal,2
closed,2014-12-02,West Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2015-01-28,Port Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-01-29,Melbourne,Parks and Trees,Park Cleaning,8
closed,2015-01-29,Carlton,"Waste, Street Cleaning and Litter",Public Litter Bin,4
closed,2015-01-30,South Yarra,Parks and Trees,Condition of Assets in Parks,13
closed,2015-01-30,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,5
closed,2014-12-05,Melbourne,Parks and Trees,Tree Maintenance Services,13
closed,2014-12-06,Parkville,Graffiti,Graffiti Removal,9
closed,2014-12-10,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2014-12-15,Melbourne,"Waste, Street Cleaning and Litter",Damaged Bins,2
closed,2014-12-15,Southbank,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2014-12-15,North Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2014-12-16,Southbank,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2014-12-16,South Yarra,"Waste, Street Cleaning and Litter",Public Litter Bin,3
closed,2014-12-17,Kensington,"Waste, Street Cleaning and Litter",Missing Bin,7
closed,2014-12-17,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-12-17,Melbourne,Graffiti,Graffiti Removal,22
closed,2014-12-18,East Melbourne,Parks and Trees,Condition of Assets in Parks,1
closed,2014-12-19,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2014-12-19,East Melbourne,Parks and Trees,Tree Maintenance Services,10
closed,2014-12-19,North Melbourne,"Waste, Street Cleaning and Litter",Street Cleaning services,3
closed,2014-12-21,East Melbourne,Parks and Trees,Park Cleaning,1
closed,2014-12-24,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-12-30,Melbourne,Graffiti,Graffiti Removal,9
closed,2014-12-30,Melbourne,Parking,Parking Compliance Services,1
closed,2014-12-31,Melbourne,Graffiti,Graffiti Removal,13
closed,2015-01-03,Kensington,Parks and Trees,Tree Maintenance Services,5
closed,2015-01-05,Docklands,"Waste, Street Cleaning and Litter",Damaged Bins,2
closed,2015-01-05,West Melbourne,Parks and Trees,Condition of Assets in Parks,7
closed,2015-01-05,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-01-06,East Melbourne,Parks and Trees,Tree Maintenance Services,7
closed,2014-11-10,Melbourne,Parks and Trees,Tree Maintenance Services,2
closed,2014-11-10,Kensington,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-10,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-10,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-11,South Yarra,Roads and Traffic,Road and Footpath Maintenance,1
closed,2015-01-07,Melbourne,Graffiti,Graffiti Removal,13
closed,2015-01-07,West Melbourne,"Waste, Street Cleaning and Litter",Public Litter Bin,2
closed,2015-01-08,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2014-11-11,South Yarra,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2014-11-11,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2014-11-13,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2014-11-13,Kensington,Parks and Trees,Tree Maintenance Services,20
closed,2014-11-14,Docklands,Graffiti,Graffiti Removal,10
closed,2015-01-10,Melbourne,Parking,Parking Compliance Services,1
closed,2014-11-17,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-01-13,Carlton,"Waste, Street Cleaning and Litter",Missing Bin,2
closed,2015-01-13,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,8
closed,2015-01-14,Melbourne,Graffiti,Graffiti Removal,13
closed,2015-04-21,Carlton,"Waste, Street Cleaning and Litter",Waste Collection Services,2
closed,2015-06-18,Carlton,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-06-19,North Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,3
closed,2015-03-02,Parkville,Parks and Trees,Condition of Assets in Parks,1
closed,2015-03-03,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
closed,2015-04-24,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,5
closed,2015-04-27,Kensington,"Waste, Street Cleaning and Litter",Damaged Bins,2
closed,2015-04-27,Carlton,Parks and Trees,Tree Maintenance Services,1
closed,2015-06-21,Carlton North,Parks and Trees,Park Cleaning,4
closed,2015-06-22,Parkville,"Waste, Street Cleaning and Litter",Syringe Pick-Up Services,1
closed,2015-06-22,Melbourne,Parks and Trees,Tree Maintenance Services,3
closed,2015-06-23,Carlton,Graffiti,Graffiti Removal,9
closed,2015-06-24,Kensington,Parks and Trees,Condition of Assets in Parks,5
closed,2015-08-15,Melbourne,Graffiti,Graffiti Removal,6
closed,2015-08-17,Melbourne,Graffiti,Graffiti Removal,8
closed,2015-08-17,Melbourne,Graffiti,Graffiti Removal,8
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,4
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,15
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,15
closed,2015-02-26,Melbourne,"Waste, Street Cleaning and Litter",Waste Collection Services,15
closed,2015-04-28,East Melbourne,"Waste, Street Cleaning and Litter",Missing Bin,6
closed,2015-04-29,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,2
closed,2015-06-24,Carlton,Graffiti,Graffiti Removal,8
closed,2015-06-25,Carlton,Graffiti,Graffiti Removal,7
closed,2015-06-25,Melbourne,"Waste, Street Cleaning and Litter",Missed Bin Collection,1
